customer_id,name,age,gender,employment_status,income,credit_score,region
1,Vicki_Gonzalez,48,Female,Unemployed,240k,455,Eldoret
2,Marissa Graves,65,Male,Student,180538,609,Eldoret
3,Jennifer Simpson,52,Male,Student,87317,585,Thika
4,Richard Rodriguez,50,Male,Student,344059,765,Nakuru
5,Sara Barker,38,Male,Employed,159299,471,Kisumu
6,Bryan Baker,32,Male,Unemployed,171488,545,Nakuru
7,Nicole Oliver,23,Male,Unemployed,143788,563,Nairobi
8,Mark Castro,34,Female,Unemployed,54112,595,Thika
9,Andrew Hayes,55,Male,Employed,140369,315,Kisumu
10,Clarence Morris,34,Female,Student,240682,493,nrb
11,Susan Rodriguez,44,Female,Self-employed,182314,680,Ksm
12,Carla Arnold MD,31,Male,Employed,227731,354,Thika
13,Justin Trevino,34,Male,Employed,235319,487,Mombasa
14,Spencer Trujillo,65,Male,Self-employed,135994,577,Thika
15,Jennifer Flores,59,Female,Employed,172134,373,Kisumu
16,Alexis Stevens,55,Female,Self-employed,56536,458,Nakuru
17,Joshua Ward,26,Female,Unemployed,44070,363,Nakuru
18,Latoya Grant,63,Male,Employed,191566,433,Eldoret
19,Gregory Walsh,43,Male,Employed,263106,508,Nairobi
20,Annette Howard,61,Male,Student,41709,630,Eldoret
21,Crystal Davis,39,Male,Unemployed,190550,398,Thika
22,Kevin Rodriguez,27,Male,Student,129258,461,Mombasa
23,Stacy Wallace,66,Male,Self-employed,236128,787,Thika
24,Arthur Cooley,54,Female,Student,180345,372,Eldoret
25,Carrie Mitchell,37,Female,Student,280731,719,Kisumu
26,Kimberly Miller,64,Male,Student,257601,739,Thika
27,Jacqueline Lee,48,Male,Student,132531,792,Kisumu
28,David Wu,64,Female,Student,135217,406,Coast
29,Laura Salas,50,Male,Employed,292420,333,Thika
30,Danny Bradley,25,Female,Unemployed,341346,414,Thika
31,Sherry Kim,45,Female,Employed,63420,793,Kisumu
32,Richard Franklin,38,Male,Self-employed,253715,815,naks
33,Jimmy Morgan,37,Male,Student,117105,321,Nairobi
34,Eric Hughes,21,Male,Unemployed,257882,633,Nairobi
35,Cheryl Peterson,38,Female,Employed,236109,737,Mombasa
36,Robert Baker,59,Female,Employed,245627,750,Nairobi
37,Cory Lopez,25,Female,Unemployed,325565,414,Kisumu
38,Nicole Wise,46,Male,Self-employed,88963,301,Thika
39,Gina Johnson,56,Male,Self-employed,327910,791,Mombasa
40,Justin Guerrero,40,Female,Unemployed,45783,830,Thika
41,Susan Petty,27,Female,Unemployed,98028,796,Eldoret
42,Sara Gordon,38,Female,Unemployed,273003,674,Mombasa
43,Carol Shepard,28,Male,Self-employed,84164,713,Thika
44,Melinda Butler,31,Male,Student,99723,777,Nairobi
45,Ms. Susan Hunt,51,Female,Student,211457,430,Nakuru
46,Corey Bradshaw,40,Male,Self-employed,51465,590,Thika
47,Angel Johnson,42,Male,Employed,231972,327,Nakuru
48,Shelly Reeves,34,Male,Employed,227353,399,Nairobi
49,Vicki Shields,27,Male,Student,309926,793,Nakuru
50,Steven Fitzpatrick,44,Male,Employed,118801,688,Nakuru
51,Amanda Thompson,43,Male,Unemployed,348983,731,Thika
52,Steven Phillips,62,Male,Student,252374,809,Nakuru
53,Kimberly Thornton,66,Male,Student,78706,361,Kisumu
54,Ernest Brooks,67,Female,Self-employed,265704,584,Nakuru
55,Eugene Jenkins,64,Male,Self-employed,49618,484,Thika
56,Leslie Howard,39,Female,Employed,169087,386,Kisumu
57,Jacob Miller,35,Male,Self-employed,239449,612,Kisumu
58,Peter Santana Jr.,57,Male,Self-employed,308487,601,Thika
59,Harold Tran,31,Male,Employed,49556,842,Nakuru
60,Lisa Nunez,65,Female,Student,134271,464,Mombasa
61,Bryan Shaw,28,Male,Self-employed,278603,719,Kisumu
62,Kathryn Sherman,46,Male,Employed,200304,612,Thika
63,Jennifer Walker,42,Female,Employed,344149,366,Mombasa
64,Michelle Nguyen,54,Female,Unemployed,288237,645,Kisumu
65,Joshua Daniels,63,Female,Employed,85912,502,Thika
66,Dr. Sarah Hart,31,Male,Student,286602,378,Nakuru
67,Angel Beck,50,Female,Unemployed,215481,362,Nairobi
68,Chad Robinson,21,Male,Student,76505,663,Thika
69,Miss Elizabeth Wilson,65,Female,Self-employed,23602,849,Eldoret
70,Matthew Hayes,66,Female,Student,162879,683,Eldoret
71,Evelyn Huynh,64,Female,Self-employed,170663,555,Nairobi
72,Daniel Phillips,63,Female,Student,231356,684,Mombasa
73,Megan Miller,56,Male,Employed,266103,427,Thika
74,Kirsten Jones,36,Female,Student,76447,765,Nairobi
75,Richard Santos,64,Female,Self-employed,126757,746,Mombasa
76,Michael Johnson,28,Male,Self-employed,206503,530,Eldoret
77,Martin Perez,68,Male,Student,72197,300,Thika
78,Alison Williams,47,Female,Unemployed,214473,306,Thika
79,Dana Fletcher,21,Male,Unemployed,27827,692,Thika
80,Meredith Miller,61,Male,Employed,275381,472,Mombasa
81,Samantha Morton,45,Female,Employed,267028,782,Eldoret
82,Joshua Moore,60,Female,Employed,340618,785,Nairobi
83,Karina Walsh,39,Male,Unemployed,139770,615,Nairobi
84,Meredith Russell,34,Male,Unemployed,204240,648,Eldoret
85,Deanna Moran,43,Female,Employed,39778,836,Nakuru
86,Deborah Williams,46,Female,Self-employed,270663,619,Eldoret
87,Andrew Martin,31,Female,Self-employed,42348,676,Kisumu
88,Jennifer Hansen,54,Female,Self-employed,300919,430,Nakuru
89,Logan Howe,50,Female,Self-employed,34560,657,Kisumu
90,Michael Walker,22,Female,Unemployed,268296,701,Thika
91,Zachary Lewis,29,Female,Unemployed,259459,503,Nakuru
92,Brent Adams,43,Male,Self-employed,84789,555,Nakuru
93,David Bush,40,Female,Student,203246,519,Nairobi
94,Robin Collins,58,Male,Unemployed,327330,570,Mombasa
95,Jessica Carr,24,Female,Self-employed,262944,332,Nakuru
96,Taylor Wood,28,Female,Self-employed,323080,571,Thika
97,Brianna Atkinson,55,Male,Student,71066,329,Kisumu
98,Edwin Coleman,47,Male,Self-employed,130433,334,Thika
99,Tina Johnson,23,Male,Employed,291634,579,Mombasa
100,Tiffany Robertson,62,Male,Employed,103295,622,Kisumu
101,Amy Jones,58,Female,Student,278699,529,Mombasa
102,Ralph Jimenez MD,61,Male,Unemployed,191536,624,Nakuru
103,Katherine Peterson,21,Female,Employed,143760,310,Thika
104,Nicholas Nelson,23,Female,Self-employed,347822,435,Nakuru
105,Christine Rodriguez,40,Female,Employed,227931,412,Nakuru
106,Jordan Armstrong,67,Female,Employed,39565,660,Nakuru
107,Shelley Cline,36,Female,Self-employed,207564,507,Mombasa
108,Valerie Sullivan,42,Female,Self-employed,66019,578,Nakuru
109,Eric Kidd PhD,31,Male,Unemployed,231516,705,Thika
110,Brandon Phillips,54,Female,Self-employed,310333,548,Mombasa
111,Lynn Davis,64,Male,Unemployed,75801,772,Mombasa
112,Roy Smith,40,Female,Unemployed,96128,490,Nakuru
113,Beth Williams,21,Male,Self-employed,191353,360,Nairobi
114,Miss Belinda Ramirez MD,41,Male,Self-employed,142795,761,Thika
115,Clinton Martin,57,Male,Self-employed,167473,589,Mombasa
116,James Garcia,33,Female,Unemployed,36527,681,Nakuru
117,Cheryl Rodriguez,43,Female,Employed,210181,498,Eldoret
118,Matthew Barnes,33,Male,student,74972,711,Mombasa
119,Derek Campbell,51,Female,Self-employed,56764,448,Eldoret
120,Robert Cook,41,Female,Unemployed,293526,453,Thika
121,Stephanie Harris,32,Male,Employed,219239,570,Nakuru
122,Erik Moyer,61,Female,Employed,283676,744,Nakuru
123,Julie Fuller,28,Female,Student,335142,846,Nairobi
124,Ryan Hardy,48,Male,Unemployed,239198,763,Kisumu
125,Jodi Monroe,59,Male,Employed,166368,822,Nakuru
126,Michelle Johnson,24,Female,Employed,72421,780,Nakuru
127,Abigail Porter,37,Male,Employed,27748,682,Mombasa
128,David Smith,34,Female,Unemployed,44680,736,Kisumu
129,Joshua Frye,59,Female,employed,188196,743,Mombasa
130,Kathleen Fowler,52,Male,Student,47721,501,Kisumu
131,William Holland,50,Male,Student,313482,658,Thika
132,Kristen Maldonado,59,Female,Employed,349682,376,Nakuru
133,Laura Garcia,41,Male,Employed,178448,348,Nakuru
134,Christopher Swanson,55,Male,Student,173359,788,Mombasa
135,Kristine Brown,57,Female,Self-employed,113899,553,Eldoret
136,Laura Taylor,25,Male,Employed,45313,338,Nairobi
137,Gregory Stewart,46,Female,Unemployed,119755,555,Mombasa
138,Adam Becker,29,Female,Employed,284227,449,Thika
139,Paul Carr,59,Female,Unemployed,330589,573,Eldoret
140,Christine Woods,29,Female,Self-employed,213950,328,Eldoret
141,Justin Wood,25,Female,Student,182420,461,Thika
142,Katherine Jenkins,28,Female,Employed,239520,589,Kisumu
143,Brooke Hunter,64,Female,Self-employed,242219,817,Mombasa
144,Michael Robinson,50,Male,Unemployed,118543,335,Eldoret
145,Anthony Barton,64,Female,Self-employed,188997,487,Mombasa
146,Steven Anderson,38,Male,Student,283670,382,Mombasa
147,Robert Robles,32,Male,Student,297171,341,Nairobi
148,Miss Jennifer Kelly,33,Female,Self-employed,265217,793,Mombasa
149,Monique Mccoy,26,Male,Unemployed,289400,797,Nakuru
150,Joseph Chan,39,Female,Unemployed,26812,378,Mombasa
151,Lance Jacobs,59,Male,Student,80126,644,Thika
152,Shelley Rodriguez,33,Male,Student,95315,543,Thika
153,Kimberly Cochran,58,Female,Employed,53819,489,Thika
154,Pamela Walton,21,Male,Employed,268649,594,Mombasa
155,Lisa Roman,50,Male,Self-employed,40316,494,Thika
156,Virginia Bauer,29,Male,Student,244991,785,Kisumu
157,Jennifer Butler,52,Female,Unemployed,48284,402,Nairobi
158,Catherine Potter,40,Male,Employed,302937,383,Kisumu
159,Carol Murray MD,34,Female,Student,149670,819,Nairobi
160,Andrea Gutierrez,63,Male,Unemployed,320585,620,Eldoret
161,David Hall,32,Female,Student,139506,535,Nakuru
162,Matthew Flores,41,Male,Employed,190932,318,Eldoret
163,Travis Rose,61,Male,Self-employed,63056,846,Eldoret
164,Andrew Garcia,40,Female,Student,349838,582,Nakuru
165,Linda Schwartz,67,Female,Self-employed,128633,501,Nakuru
166,Zachary Sanchez,66,Female,Unemployed,107455,744,Mombasa
167,Kristin Estes,44,Female,Self-employed,319890,583,Nakuru
168,Shirley Robinson,55,Female,Student,122551,395,Eldoret
169,Kyle Garrett,40,Female,Student,222878,729,Thika
170,Tyler Ward,51,Female,Employed,56432,788,Nairobi
171,Mrs. Anne Bullock,28,Female,Student,252858,802,Thika
172,Jeffrey Rice,30,Female,Self-employed,44231,302,Nakuru
173,Susan Olsen,33,Male,Employed,145618,401,Eldoret
174,Kenneth Richardson,37,Female,Student,121344,800,Nakuru
175,Brandon Patterson,28,Female,Student,56479,398,Mombasa
176,Samantha Guzman,49,Male,Unemployed,163798,397,Eldoret
177,Natalie Berry,50,Female,Unemployed,215005,837,Kisumu
178,Jennifer Lozano MD,39,Male,Unemployed,63850,808,Thika
179,Patricia Orr,27,Female,Unemployed,340998,642,Eldoret
180,Taylor Martin,59,Male,Employed,46799,574,Thika
181,Wesley Taylor,21,Female,Self-employed,159372,721,Eldoret
182,Susan Manning,22,Male,Student,131564,747,Nairobi
183,Dylan Warren,51,Female,Self-employed,268616,322,Eldoret
184,Joseph Butler,25,Male,Employed,38002,625,Nakuru
185,Sherri Miller,27,Male,Employed,220110,843,Thika
186,Suzanne Mcdaniel,66,Male,Employed,171373,635,Thika
187,Stephanie Small,65,Female,Employed,344362,739,Nakuru
188,Dr. Benjamin Thomas MD,25,Male,Self-employed,53529,367,Nakuru
189,Michele Bond,23,Male,Unemployed,192395,624,Eldoret
190,Amber Weaver,62,Male,Unemployed,195947,600,Mombasa
191,Tiffany Alvarez,42,Male,Unemployed,294591,477,Eldoret
192,Elizabeth Johnson,69,Female,Unemployed,105653,334,Nairobi
193,Jonathan Tran,24,Female,Employed,131769,493,Nakuru
194,Russell Anderson,33,Male,Self-employed,225043,779,Nairobi
195,Cheryl Willis,46,Male,Unemployed,212304,722,Nairobi
196,James Clark,66,Male,Employed,100622,819,Mombasa
197,Bryan Brady,43,Male,Unemployed,157148,492,Nakuru
198,Jaime Meyer,48,Female,Employed,40943,459,Eldoret
199,Franklin Reilly,38,Male,Employed,277893,304,Nairobi
200,Leslie Armstrong,56,Female,Unemployed,31572,708,Kisumu
201,Carol Lester,27,Female,Employed,118960,371,Mombasa
202,Jamie Smith,49,Male,Student,71756,830,Thika
203,Tina Tyler,69,Male,Student,100704,553,Thika
